alg_normalized,Gloss
kunáwôun,see.12P.DAS.E
nunámunán,see.1P.DNS.E
kunáwurumuw,see.1S.2P.E
kunáwush,see.1S.2S.E
nunáwôwak,see.1S.DAP.E
nunámun,see.1S.DNS.E
kunámumuw,see.2P.INS.E
kunámunáw,see.2P.DNS.E
kunámunash,see.2S.DNP.E
